"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"3687","GO:0007166",8.19753976759291e-51,1,1079,2299,"cell surface receptor signaling pathway","BP"
"13593","GO:0050793",8.47088337146773e-51,1,1202,2620,"regulation of developmental process","BP"
"10655","GO:0042127",1.09547342075795e-50,1,788,1605,"regulation of cell proliferation","BP"
"2732","GO:0005654",1.80228144094201e-50,1,1145,2483,"nucleoplasm","CC"
"4619","GO:0009653",4.15432015564921e-50,1,1199,2587,"anatomical structure morphogenesis","BP"
"21713","GO:2000112",5.06209081479484e-50,1,1375,3096,"regulation of cellular macromolecule biosynthetic process","BP"
"19228","GO:1901362",8.34814602934631e-50,1,1463,3367,"organic cyclic compound biosynthetic process","BP"
"13888","GO:0051240",9.50998788578991e-50,1,898,1855,"positive regulation of multicellular organismal process","BP"
"9536","GO:0034645",1.03425436853376e-48,1,1614,3804,"cellular macromolecule biosynthetic process","BP"
"11640","GO:0044271",1.45392524557784e-48,1,1595,3784,"cellular nitrogen compound biosynthetic process","BP"
"3596","GO:0006996",3.82154581311661e-47,1,1445,3339,"organelle organization","BP"
"7174","GO:0023051",7.39362907083541e-47,1,1400,3202,"regulation of signaling","BP"
"13896","GO:0051252",1.17015067398588e-46,1,1299,2926,"regulation of RNA metabolic process","BP"
"4914","GO:0010646",2.37609676381899e-46,1,1391,3183,"regulation of cell communication","BP"
"21663","GO:2000026",7.74488413263566e-46,1,986,2098,"regulation of multicellular organismal development","BP"
"5738","GO:0016070",8.40681634029561e-46,1,1528,3589,"RNA metabolic process","BP"
"13225","GO:0048584",1.26895152104648e-45,1,947,2046,"positive regulation of response to stimulus","BP"
"9889","GO:0035556",1.29463038908487e-45,1,1131,2507,"intracellular signal transduction","BP"
"8720","GO:0032774",1.41020487863333e-44,1,1239,2791,"RNA biosynthetic process","BP"
"22316","GO:2001141",3.85360717063116e-44,1,1205,2701,"regulation of RNA biosynthetic process","BP"
"3146","GO:0006351",4.56312710620829e-44,1,1231,2774,"transcription, DNA-templated","BP"
"18048","GO:0097659",7.50079481894898e-44,1,1232,2779,"nucleic acid-templated transcription","BP"
"3150","GO:0006355",9.90587903428987e-44,1,1199,2688,"regulation of transcription, DNA-templated","BP"
"8789","GO:0032879",1.23177670950991e-43,1,1195,2694,"regulation of localization","BP"
"20110","GO:1903506",1.64004539325343e-43,1,1200,2693,"regulation of nucleic acid-templated transcription","BP"
"15704","GO:0065009",2.66830152946734e-43,1,1071,2393,"regulation of molecular function","BP"
"3633","GO:0007049",7.4092805635947e-43,1,755,1546,"cell cycle","BP"
"4025","GO:0008219",1.08176552046755e-42,1,931,2030,"cell death","BP"
"19229","GO:1901363",1.26011438523375e-42,1,1966,4818,"heterocyclic compound binding","MF"
"17805","GO:0097159",2.16114991700895e-42,1,1996,4911,"organic cyclic compound binding","MF"
"11015","GO:0042802",2.84944852870401e-42,1,842,1795,"identical protein binding","MF"
"11224","GO:0043228",7.647085496115e-42,1,1597,3867,"non-membrane-bounded organelle","CC"
"4817","GO:0010468",7.85051262819024e-42,1,1553,3682,"regulation of gene expression","BP"
"13790","GO:0051094",1.21412664841524e-41,1,732,1493,"positive regulation of developmental process","BP"
"4816","GO:0010467",5.40488284138383e-41,1,1826,4533,"gene expression","BP"
"12355","GO:0045935",6.67243752434469e-41,1,832,1753,"positive regulation of nucleobase-containing compound metabolic process","BP"
"13226","GO:0048585",8.60219381430051e-41,1,742,1528,"negative regulation of response to stimulus","BP"
"7266","GO:0030154",1.1111011786982e-40,1,1660,3998,"cell differentiation","BP"
"13188","GO:0048513",1.25448600885055e-40,1,1418,3336,"animal organ development","BP"
"11228","GO:0043232",2.47298844086556e-40,1,1583,3848,"intracellular non-membrane-bounded organelle","CC"
"13883","GO:0051234",3.51332413037077e-40,1,1720,4183,"establishment of localization","BP"
"5124","GO:0010941",4.00174289926941e-40,1,779,1657,"regulation of cell death","BP"
"4675","GO:0009891",5.78448190877872e-40,1,866,1861,"positive regulation of biosynthetic process","BP"
"13383","GO:0048869",9.27852748003069e-40,1,1729,4203,"cellular developmental process","BP"
"5170","GO:0012501",1.44327682716858e-39,1,859,1874,"programmed cell death","BP"
"15703","GO:0065008",2.39230207523214e-39,1,1607,3867,"regulation of biological quality","BP"
"7866","GO:0031328",2.99851639472792e-39,1,849,1820,"positive regulation of cellular biosynthetic process","BP"
"7118","GO:0022607",1.58915897705575e-38,1,1144,2636,"cellular component assembly","BP"
"17254","GO:0080134",2.27091961405754e-38,1,599,1211,"regulation of response to stress","BP"
"3550","GO:0006915",2.42536354553218e-38,1,840,1836,"apoptotic process","BP"
"4853","GO:0010557",1.51566967534424e-37,1,809,1729,"positive regulation of macromolecule biosynthetic process","BP"
"3152","GO:0006357",5.45593517924546e-37,1,880,1911,"regulation of transcription by RNA polymerase II","BP"
"3159","GO:0006366",7.90858097588392e-37,1,900,1970,"transcription by RNA polymerase II","BP"
"11126","GO:0043067",2.03754404604405e-36,1,710,1513,"regulation of programmed cell death","BP"
"11571","GO:0044085",4.02398637425069e-36,1,1203,2836,"cellular component biogenesis","BP"
"7905","GO:0031399",1.0576171518596e-35,1,787,1698,"regulation of protein modification process","BP"
"7099","GO:0022402",1.13241861827567e-35,1,530,1039,"cell cycle process","BP"
"3800","GO:0007399",1.68551208192986e-35,1,1003,2205,"nervous system development","BP"
"1055","GO:0002376",2.29975611943128e-35,1,974,2253,"immune system process","BP"
"11069","GO:0042981",2.43828471443785e-35,1,699,1494,"regulation of apoptotic process","BP"
"1657","GO:0003676",2.53830927405297e-35,1,1253,2959,"nucleic acid binding","MF"
"4702","GO:0009967",3.91137252640848e-35,1,684,1450,"positive regulation of signal transduction","BP"
"11183","GO:0043169",4.13914095181141e-35,1,1462,3478,"cation binding","MF"
"12151","GO:0045595",4.28761378471755e-35,1,848,1839,"regulation of cell differentiation","BP"
"7862","GO:0031324",5.33465213801217e-35,1,1024,2341,"negative regulation of cellular metabolic process","BP"
"1658","GO:0003677",6.14176590771295e-35,1,899,1977,"DNA binding","MF"
"12766","GO:0046872",9.81102515263143e-35,1,1426,3383,"metal ion binding","MF"
"4897","GO:0010628",1.9228895279441e-34,1,863,1896,"positive regulation of gene expression","BP"
"3482","GO:0006810",2.62013824068042e-34,1,1648,4063,"transport","BP"
"9084","GO:0033554",3.80307856814499e-34,1,765,1648,"cellular response to stress","BP"
"19286","GO:1901564",4.5247151527263e-34,1,2195,5773,"organonitrogen compound metabolic process","BP"
"2842","GO:0005829",4.72541619515397e-34,1,1276,3072,"cytosol","CC"
"12323","GO:0045893",9.25607708700662e-34,1,704,1485,"positive regulation of transcription, DNA-templated","BP"
"13889","GO:0051241",1.06075612050403e-33,1,615,1280,"negative regulation of multicellular organismal process","BP"
"20112","GO:1903508",1.5618259032668e-33,1,704,1487,"positive regulation of nucleic acid-templated transcription","BP"
"141","GO:0000278",1.7067204143786e-33,1,414,778,"mitotic cell cycle","BP"
"13814","GO:0051130",1.72569438221042e-33,1,598,1216,"positive regulation of cellular component organization","BP"
"19729","GO:1902680",1.97135882479259e-33,1,704,1488,"positive regulation of RNA biosynthetic process","BP"
"13890","GO:0051246",2.15345512931164e-33,1,1102,2584,"regulation of protein metabolic process","BP"
"8368","GO:0032268",2.27547289443427e-33,1,1035,2402,"regulation of cellular protein metabolic process","BP"
"9720","GO:0035239",2.8288423783906e-33,1,463,882,"tube morphogenesis","BP"
"13898","GO:0051254",3.00723907990241e-33,1,739,1580,"positive regulation of RNA metabolic process","BP"
"7119","GO:0022610",7.85483543480792e-33,1,620,1255,"biological adhesion","BP"
"13844","GO:0051172",8.79284787082409e-33,1,952,2174,"negative regulation of nitrogen compound metabolic process","BP"
"3473","GO:0006793",1.26859420027099e-32,1,1185,2811,"phosphorus metabolic process","BP"
"13846","GO:0051174",1.60962520592951e-32,1,747,1629,"regulation of phosphorus metabolic process","BP"
"4676","GO:0009892",1.67569287322884e-32,1,1151,2719,"negative regulation of metabolic process","BP"
"6522","GO:0019220",2.29410437502411e-32,1,746,1628,"regulation of phosphate metabolic process","BP"
"3474","GO:0006796",2.80508867541329e-32,1,1176,2791,"phosphate-containing compound metabolic process","BP"
"3676","GO:0007155",6.58964941134301e-32,1,612,1243,"cell adhesion","BP"
"7177","GO:0023057",9.04482416671819e-32,1,621,1288,"negative regulation of signaling","BP"
"3555","GO:0006928",9.22799505622512e-32,1,850,1891,"movement of cell or subcellular component","BP"
"4916","GO:0010648",1.31530352273483e-31,1,619,1284,"negative regulation of cell communication","BP"
"11338","GO:0043412",1.6149357443349e-31,1,1423,3463,"macromolecule modification","BP"
"8907","GO:0033043",2.08044693797719e-31,1,579,1187,"regulation of organelle organization","BP"
"14164","GO:0051726",2.4230593590008e-31,1,466,916,"regulation of cell cycle","BP"
"3226","GO:0006464",3.00771514434352e-31,1,1366,3304,"cellular protein modification process","BP"
"10269","GO:0036211",3.00771514434352e-31,1,1366,3304,"protein modification process","BP"
"11638","GO:0044267",3.31517417423699e-31,1,1696,4322,"cellular protein metabolic process","BP"
"9758","GO:0035295",3.32696484829281e-31,1,543,1090,"tube development","BP"
"19677","GO:1902531",3.51011443208257e-31,1,745,1646,"regulation of intracellular signal transduction","BP"
"10754","GO:0042325",3.86815964535733e-31,1,683,1476,"regulation of phosphorylation","BP"
"14112","GO:0051641",4.11601190768822e-31,1,1056,2443,"cellular localization","BP"
"4703","GO:0009968",4.3294891946623e-31,1,566,1155,"negative regulation of signal transduction","BP"
"4060","GO:0008284",4.61016764161396e-31,1,471,956,"positive regulation of cell proliferation","BP"
"4597","GO:0009605",4.62252846083665e-31,1,940,2219,"response to external stimulus","BP"
"6631","GO:0019538",7.40670245558887e-31,1,1907,4947,"protein metabolic process","BP"
"5861","GO:0016310",1.13081157507079e-30,1,912,2081,"phosphorylation","BP"
"13591","GO:0050790",1.19231819237064e-30,1,780,1753,"regulation of catalytic activity","BP"
"4672","GO:0009888",1.25378104790255e-30,1,837,1861,"tissue development","BP"
"6753","GO:0019899",2.7367218715664e-30,1,982,2236,"enzyme binding","MF"
"19896","GO:1903047",3.63212574545382e-30,1,344,633,"mitotic cell cycle process","BP"
"4881","GO:0010605",4.22908397776978e-30,1,1052,2474,"negative regulation of macromolecule metabolic process","BP"
"3570","GO:0006952",4.88160319354067e-30,1,602,1344,"defense response","BP"
"13259","GO:0048646",5.40120885722431e-30,1,548,1116,"anatomical structure formation involved in morphogenesis","BP"
"12153","GO:0045597",5.98702918575852e-30,1,527,1066,"positive regulation of cell differentiation","BP"
"3091","GO:0006259",8.19576713377377e-30,1,434,855,"DNA metabolic process","BP"
"10572","GO:0040011",8.81330804356445e-30,1,772,1713,"locomotion","BP"
"5931","GO:0016477",4.56947474044525e-29,1,640,1371,"cell migration","BP"
"3228","GO:0006468",1.04182661067679e-28,1,790,1761,"protein phosphorylation","BP"
"12362","GO:0045944",1.47014423026269e-28,1,566,1180,"positive regulation of transcription by RNA polymerase II","BP"
"8902","GO:0033036",2.32328533390944e-28,1,1150,2748,"macromolecule localization","BP"
"11879","GO:0044877",2.45331164568378e-28,1,563,1186,"protein-containing complex binding","MF"
"757","GO:0001932",2.70033841822169e-28,1,631,1367,"regulation of protein phosphorylation","BP"
"7084","GO:0022008",3.43148538281351e-28,1,771,1679,"neurogenesis","BP"
"11520","GO:0043933",4.78802929477861e-28,1,796,1845,"protein-containing complex subunit organization","BP"
"1229","GO:0002682",6.03832840572206e-28,1,575,1250,"regulation of immune system process","BP"
"11182","GO:0043168",8.96197088066382e-28,1,1113,2597,"anion binding","MF"
"3945","GO:0008104",1.55226341729637e-27,1,1034,2438,"protein localization","BP"
"5171","GO:0012505",3.34668975745935e-27,1,1439,3604,"endomembrane system","CC"
"2763","GO:0005694",3.75787861900134e-27,1,484,1001,"chromosome","CC"
"3607","GO:0007010",4.16153982044069e-27,1,586,1232,"cytoskeleton organization","BP"
"11572","GO:0044087",6.95969105430135e-27,1,454,906,"regulation of cellular component biogenesis","BP"
"5125","GO:0010942",7.15763175314497e-27,1,343,663,"positive regulation of cell death","BP"
"12354","GO:0045934",1.0480356916731e-26,1,616,1335,"negative regulation of nucleobase-containing compound metabolic process","BP"
"11578","GO:0044093",1.36808283926137e-26,1,633,1386,"positive regulation of molecular function","BP"
"13891","GO:0051247",2.07960366411646e-26,1,704,1581,"positive regulation of protein metabolic process","BP"
"13384","GO:0048870",3.38914853058931e-26,1,679,1508,"cell motility","BP"
"14134","GO:0051674",3.38914853058931e-26,1,679,1508,"localization of cell","BP"
"8370","GO:0032270",4.23763212955031e-26,1,665,1480,"positive regulation of cellular protein metabolic process","BP"
"11730","GO:0044427",5.52396153844481e-26,1,435,890,"chromosomal part","CC"
"2485","GO:0005102",1.11768234366885e-25,1,684,1602,"signaling receptor binding","MF"
"7907","GO:0031401",1.1374028396347e-25,1,548,1175,"positive regulation of protein modification process","BP"
"3572","GO:0006954",1.72767139088546e-25,1,320,636,"inflammatory response","BP"
"8287","GO:0032101",1.98669628828125e-25,1,356,709,"regulation of response to external stimulus","BP"
"1700","GO:0003824",2.35290658707465e-25,1,2081,5509,"catalytic activity","MF"
"11132","GO:0043085",2.50675852331868e-25,1,485,1023,"positive regulation of catalytic activity","BP"
"4674","GO:0009890",2.54873921998601e-25,1,653,1444,"negative regulation of biosynthetic process","BP"
"1666","GO:0003690",2.64792660426091e-25,1,456,931,"double-stranded DNA binding","MF"
"11434","GO:0043565",2.95906270784707e-25,1,519,1085,"sequence-specific DNA binding","MF"
"13296","GO:0048699",3.39152213066481e-25,1,721,1581,"generation of neurons","BP"
"10568","GO:0040007",3.85733181470426e-25,1,515,1078,"growth","BP"
"13166","GO:0048468",3.90981845504043e-25,1,965,2251,"cell development","BP"
"11127","GO:0043068",4.64943972805876e-25,1,315,608,"positive regulation of programmed cell death","BP"
"13765","GO:0051049",4.77559908701246e-25,1,803,1863,"regulation of transport","BP"
"7865","GO:0031327",8.76912490057094e-25,1,638,1409,"negative regulation of cellular biosynthetic process","BP"
"7691","GO:0031012",9.36372783757788e-25,1,261,471,"extracellular matrix","CC"
"4854","GO:0010558",9.99345997194681e-25,1,618,1356,"negative regulation of macromolecule biosynthetic process","BP"
"11124","GO:0043065",1.55950423415168e-24,1,311,602,"positive regulation of apoptotic process","BP"
"17045","GO:0072359",2.34798639798808e-24,1,523,1098,"circulatory system development","BP"
"642","GO:0001775",2.79700711626986e-24,1,435,914,"cell activation","BP"
"16795","GO:0071944",2.81573448945722e-24,1,1924,4985,"cell periphery","CC"
"17913","GO:0097367",3.27941849178838e-24,1,891,2045,"carbohydrate derivative binding","MF"
"21714","GO:2000113",4.53110358407514e-24,1,604,1326,"negative regulation of cellular macromolecule biosynthetic process","BP"
"7402","GO:0030334",4.65884247720697e-24,1,415,843,"regulation of cell migration","BP"
"16202","GO:0070887",5.07298798698153e-24,1,1164,2867,"cellular response to chemical stimulus","BP"
"4858","GO:0010562",5.80506511071734e-24,1,504,1080,"positive regulation of phosphorus metabolic process","BP"
"12357","GO:0045937",5.80506511071734e-24,1,504,1080,"positive regulation of phosphate metabolic process","BP"
"3584","GO:0006974",6.92303235284017e-24,1,350,688,"cellular response to DNA damage stimulus","BP"
"11749","GO:0044451",8.77215450795922e-24,1,464,967,"nucleoplasm part","CC"
"13910","GO:0051270",1.19148455690918e-23,1,463,969,"regulation of cellular component movement","BP"
"12839","GO:0046983",1.68831169635816e-23,1,593,1335,"protein dimerization activity","MF"
"13954","GO:0051338",1.91675513216351e-23,1,397,805,"regulation of transferase activity","BP"
"4860","GO:0010564",1.96378162913471e-23,1,299,565,"regulation of cell cycle process","BP"
"7115","GO:0022603",2.01209880011429e-23,1,495,1037,"regulation of anatomical structure morphogenesis","BP"
"19679","GO:1902533",2.24700056518284e-23,1,454,976,"positive regulation of intracellular signal transduction","BP"
"7176","GO:0023056",2.31953634691857e-23,1,768,1791,"positive regulation of signaling","BP"
"15699","GO:0065003",2.35506070504032e-23,1,693,1630,"protein-containing complex assembly","BP"
"13897","GO:0051253",3.40945450139092e-23,1,558,1218,"negative regulation of RNA metabolic process","BP"
"21730","GO:2000145",4.74840760278018e-23,1,428,886,"regulation of cell motility","BP"
"2861","GO:0005856",5.21565055392579e-23,1,850,1988,"cytoskeleton","CC"
"4915","GO:0010647",5.28281722388741e-23,1,764,1785,"positive regulation of cell communication","BP"
"3786","GO:0007346",5.54293956737242e-23,1,264,489,"regulation of mitotic cell cycle","BP"
"17959","GO:0097458",5.72533908182238e-23,1,817,1886,"neuron part","CC"
"2881","GO:0005886",6.18704402893607e-23,1,1871,4855,"plasma membrane","CC"
"1231","GO:0002684",6.86569103868676e-23,1,417,884,"positive regulation of immune system process","BP"
"11610","GO:0044212",1.07033007246951e-22,1,443,916,"transcription regulatory region DNA binding","MF"
"409","GO:0001067",1.66652036648484e-22,1,444,920,"regulatory region nucleic acid binding","MF"
"4898","GO:0010629",2.18566651725894e-22,1,740,1710,"negative regulation of gene expression","BP"
"10573","GO:0040012",2.69922823931498e-22,1,456,963,"regulation of locomotion","BP"
"18166","GO:0098687",3.86046833956629e-22,1,170,278,"chromosomal region","CC"
"10756","GO:0042327",4.90416233282964e-22,1,472,1015,"positive regulation of phosphorylation","BP"
"286","GO:0000775",5.08269886775179e-22,1,121,178,"chromosome, centromeric region","CC"
"11726","GO:0044421",5.81556658124012e-22,1,700,1745,"extracellular region part","CC"
"15687","GO:0062023",6.52037030915275e-22,1,191,329,"collagen-containing extracellular matrix","CC"
"13933","GO:0051301",7.29092003187242e-22,1,287,547,"cell division","BP"
"18780","GO:0140014",1.0428734837509e-21,1,161,263,"mitotic nuclear division","BP"
"21592","GO:1990837",1.08227822756113e-21,1,412,848,"sequence-specific double-stranded DNA binding","MF"
"3573","GO:0006955",1.13702921429611e-21,1,551,1279,"immune response","BP"
"18815","GO:0140110",1.22435892899504e-21,1,589,1304,"transcription regulator activity","MF"
"671","GO:0001816",1.3150949550328e-21,1,339,695,"cytokine production","BP"
"4061","GO:0008285",1.40906439204368e-21,1,329,664,"negative regulation of cell proliferation","BP"
"10900","GO:0042592",1.66916243552808e-21,1,767,1808,"homeostatic process","BP"
"516","GO:0001568",1.89782529369803e-21,1,351,699,"blood vessel development","BP"
"13189","GO:0048514",2.09490707989053e-21,1,312,607,"blood vessel morphogenesis","BP"
"13913","GO:0051276",3.12999742273108e-21,1,477,1025,"chromosome organization","BP"
"13644","GO:0050865",3.18837333286628e-21,1,271,528,"regulation of cell activation","BP"
"759","GO:0001934",3.27916458661957e-21,1,450,968,"positive regulation of protein phosphorylation","BP"
"19728","GO:1902679",3.6521003331344e-21,1,520,1140,"negative regulation of RNA biosynthetic process","BP"
"7884","GO:0031347",4.20615995193929e-21,1,282,562,"regulation of defense response","BP"
"12052","GO:0045321",4.60405985831419e-21,1,382,810,"leukocyte activation","BP"
"12322","GO:0045892",4.92647469030677e-21,1,518,1136,"negative regulation of transcription, DNA-templated","BP"
"7267","GO:0030155",5.11705877513413e-21,1,326,647,"regulation of cell adhesion","BP"
"20111","GO:1903507",5.3720415732486e-21,1,519,1139,"negative regulation of nucleic acid-templated transcription","BP"
"14285","GO:0051960",5.93272780137198e-21,1,485,1021,"regulation of nervous system development","BP"
"768","GO:0001944",6.52833870159129e-21,1,362,730,"vasculature development","BP"
"13813","GO:0051129",1.22405493601336e-20,1,350,710,"negative regulation of cellular component organization","BP"
"11422","GO:0043549",1.75480314013938e-20,1,346,699,"regulation of kinase activity","BP"
"672","GO:0001817",1.95600936512929e-20,1,306,623,"regulation of cytokine production","BP"
"7289","GO:0030182",2.23891127134928e-20,1,638,1418,"neuron differentiation","BP"
"14119","GO:0051649",2.56373867872162e-20,1,772,1823,"establishment of localization in cell","BP"
"4649","GO:0009790",2.6472722043929e-20,1,531,1161,"embryo development","BP"
"14972","GO:0060548",2.71639594183261e-20,1,478,1056,"negative regulation of cell death","BP"
"4671","GO:0009887",3.18516076391426e-20,1,483,1031,"animal organ morphogenesis","BP"
"4707","GO:0009986",3.19167744198652e-20,1,412,881,"cell surface","CC"
"17044","GO:0072358",3.48687228585213e-20,1,365,743,"cardiovascular system development","BP"
"12272","GO:0045786",3.57198630694126e-20,1,233,434,"negative regulation of cell cycle","BP"
"16125","GO:0070727",3.74748380849493e-20,1,693,1607,"cellular macromolecule localization","BP"
"1241","GO:0002694",4.13788764123133e-20,1,251,488,"regulation of leukocyte activation","BP"
"11079","GO:0042995",5.17247297774902e-20,1,961,2322,"cell projection","CC"
"9513","GO:0034613",5.22777210041377e-20,1,689,1598,"cellular protein localization","BP"
"7199","GO:0030030",5.79317861612504e-20,1,662,1496,"cell projection organization","BP"
"3688","GO:0007167",6.36998148766948e-20,1,412,854,"enzyme linked receptor protein signaling pathway","BP"
"18725","GO:0120036",8.98843370864251e-20,1,645,1453,"plasma membrane bounded cell projection organization","BP"
