MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:2444748,Chd7,chromodomain helicase DNA binding protein 7,4,,ventricular trabecula myocardium morphogenesis,,,IMP,MGI:2176467 MGI:4433295 ,J:225736 
MGI:1328313,Chkb,choline kinase beta,15,,muscle organ development,,,IMP,MGI:3578417 ,J:108320 
MGI:87885,Chrna1,"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)",2,,skeletal muscle tissue growth,,,ISO,P02708 ,J:164563 
MGI:87893,Chrnd,"cholinergic receptor, nicotinic, delta polypeptide",1,,skeletal muscle tissue growth,,,ISO,Q07001 ,J:164563 
MGI:1306784,Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",10,,negative regulation of cardiac muscle cell proliferation,,,ISO,RGD:620112 ,J:155856 
MGI:1306784,Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",10,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:88439,Cntf,ciliary neurotrophic factor,19,,muscle organ morphogenesis,,,IGI,MGI:96787 ,J:97380 
MGI:99605,Cntfr,ciliary neurotrophic factor receptor,4,,skeletal muscle organ development,results in the development of perineal muscle,,IMP,MGI:2181046 ,J:59710 
MGI:88453,Col3a1,"collagen, type III, alpha 1",1,,aorta smooth muscle tissue morphogenesis,,,IMP,,J:180733 
MGI:88446,Col11a1,"collagen, type XI, alpha 1",3,,ventricular cardiac muscle tissue morphogenesis,has the participant left ventricle cardiac muscle|has the participant right ventricle cardiac muscle,,IMP,MGI:1856399 ,J:116643 
MGI:1341272,Col14a1,"collagen, type XIV, alpha 1",15,,regulation of cell growth involved in cardiac muscle cell development,"regulates a function/process that happens in ventricle cardiac muscle,regulates a function/process that has the participant cardiac muscle cell",,IMP,MGI:3846440 ,J:189252 
MGI:1095415,Col19a1,"collagen, type XIX, alpha 1",1,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:1095415,Col19a1,"collagen, type XIX, alpha 1",1,,skeletal muscle tissue development,"results in the development of esophagus skeletal muscle,has the participant cell of skeletal muscle",,IMP,MGI:3053870 ,J:92510 
MGI:1913673,Coprs,"coordinator of PRMT5, differentiation stimulator",8,,muscle organ development,,,IMP,,J:196248 
MGI:1330276,Cops2,COP9 signalosome subunit 2,2,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:88494,Creb1,cAMP responsive element binding protein 1,1,,positive regulation of cardiac muscle tissue development,,,IMP,,J:210551 
MGI:894312,Crhr2,corticotropin releasing hormone receptor 2,6,,skeletal muscle tissue growth,,,ISO,RGD:70547 ,J:155856 
MGI:88516,Cryab,"crystallin, alpha B",9,,muscle organ development,results in the development of skeletal musculature,,IGI,MGI:1916503 ,J:72926 
MGI:1330824,Csrp3,cysteine and glycine-rich protein 3,7,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:1926953,Ctdp1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1",18,,negative regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:1311755 ,J:155856 
MGI:88276,Ctnnb1,"catenin (cadherin associated protein), beta 1",9,,positive regulation of skeletal muscle tissue development,,,IMP,,J:219174 
MGI:88276,Ctnnb1,"catenin (cadherin associated protein), beta 1",9,,ventricular compact myocardium morphogenesis,,,TAS,,J:169941 
MGI:1201679,Cxadr,coxsackie virus and adenovirus receptor,16,,negative regulation of cardiac muscle cell proliferation,"regulates a function/process that happens in primitive ventricle cardiac muscle,regulates the proliferation of cardiac muscle cell",,IMP,MGI:3711226 ,J:121400 
MGI:2176159,Cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1",6,,positive regulation of tongue muscle cell differentiation,,,IMP,,J:139633 
MGI:105037,Ddx5,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5,11,,regulation of skeletal muscle cell differentiation,,,IMP,,J:182387 
MGI:1914290,Ddx17,DEAD (Asp-Glu-Ala-Asp) box polypeptide 17,15,,regulation of skeletal muscle cell differentiation,,,ISO,Q92841 ,J:164563 
MGI:99240,Ddx39b,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B,17,,positive regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:70923 ,J:155856 
MGI:94885,Des,desmin,1,,muscle organ development,,,TAS,,J:21616 
MGI:1916147,Disp1,dispatched RND transporter family member 1,1,,diaphragm development,,,ISO,Q96F81 ,J:164563 
MGI:1329040,Dkk1,dickkopf WNT signaling pathway inhibitor 1,19,,negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment,,,ISO,O94907 ,J:164563 
MGI:1329040,Dkk1,dickkopf WNT signaling pathway inhibitor 1,19,,negative regulation of cardiac muscle cell differentiation,,,ISO,O94907 ,J:164563 
MGI:104659,Dll1,delta like canonical Notch ligand 1,17,,negative regulation of cardiac muscle cell differentiation,happens in embryonic stem cell,,IMP,,J:241479 
MGI:104659,Dll1,delta like canonical Notch ligand 1,17,,positive regulation of skeletal muscle tissue growth,,,IMP,,J:216287 
MGI:104659,Dll1,delta like canonical Notch ligand 1,17,,regulation of skeletal muscle tissue growth,,,IMP,,J:119082 
MGI:104659,Dll1,delta like canonical Notch ligand 1,17,,skeletal muscle tissue growth,,,IMP,,J:188916 
MGI:1859388,Dll4,delta like canonical Notch ligand 4,2,,ventricular trabecula myocardium morphogenesis,,,IMP,,J:93157 
MGI:94909,Dmd,"dystrophin, muscular dystrophy",X,,muscle organ development,,,IMP,MGI:1856328 ,J:87688 
MGI:94909,Dmd,"dystrophin, muscular dystrophy",X,,skeletal muscle tissue development,results in the development of diaphragm,,IGI,MGI:97275 ,J:100052 
MGI:94909,Dmd,"dystrophin, muscular dystrophy",X,,skeletal muscle tissue development,,,IMP,MGI:1856328 ,J:108320 
MGI:2653629,Dmrta2,doublesex and mab-3 related transcription factor like family A2,4,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:2152889,Dner,delta/notch-like EGF repeat containing,1,,skeletal muscle fiber development,,,IDA,,J:99826 
MGI:109611,Dsp,desmoplakin,13,,ventricular compact myocardium morphogenesis,,,IMP,,J:125067 
MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,muscle organ development,,,TAS,,J:70125 
MGI:1349385,Dysf,dysferlin,6,,skeletal muscle tissue development,,,IDA,,J:182257 
MGI:1349385,Dysf,dysferlin,6,,skeletal muscle tissue development,,,ISO,O75923 ,J:182257 
MGI:95283,Edn1,endothelin 1,13,,positive regulation of cell growth involved in cardiac muscle cell development,,,ISO,P05305 ,J:164563 
MGI:105097,Efnb2,ephrin B2,8,,positive regulation of cardiac muscle cell differentiation,,,IMP,,J:119151 
MGI:1932286,Egln1,egl-9 family hypoxia-inducible factor 1,8,,cardiac muscle tissue morphogenesis,has the participant heart,,IMP,MGI:3690045 ,J:114669 
MGI:95295,Egr1,early growth response 1,18,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:95296,Egr2,early growth response 2,10,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:2681174,Eid2,EP300 interacting inhibitor of differentiation 2,7,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:95317,Eln,elastin,5,,skeletal muscle tissue development,,,IMP,MGI:2153007 ,J:87748 
MGI:108117,Emd,emerin,X,,skeletal muscle cell differentiation,,,IGI,MGI:2385045 ,J:153986 
MGI:108117,Emd,emerin,X,,skeletal muscle cell differentiation,,,IMP,,J:153986 
MGI:95392,Eng,endoglin,2,,atrial cardiac muscle tissue morphogenesis,,,IMP,,J:124260 
MGI:95392,Eng,endoglin,2,,ventricular trabecula myocardium morphogenesis,,,IMP,,J:154475 
MGI:1201683,Eomes,eomesodermin,9,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:1276116,Ep300,E1A binding protein p300,15,,positive regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:620036 ,J:155856 
MGI:1276116,Ep300,E1A binding protein p300,15,,skeletal muscle tissue development,,,IMP,MGI:2679374 ,J:85950 
MGI:1096337,Ephb1,Eph receptor B1,9,,negative regulation of satellite cell differentiation,,,IMP,,J:241039 
MGI:95407,Epo,erythropoietin,5,,cardiac muscle tissue morphogenesis,,,TAS,,J:169941 
MGI:95407,Epo,erythropoietin,5,,ventricular cardiac muscle tissue morphogenesis,,,TAS,,J:169941 
MGI:95408,Epor,erythropoietin receptor,9,,cardiac muscle tissue morphogenesis,,,TAS,,J:169941 
MGI:95408,Epor,erythropoietin receptor,9,,ventricular cardiac muscle tissue morphogenesis,,,TAS,,J:169941 
MGI:95411,Erbb3,erb-b2 receptor tyrosine kinase 3,10,,positive regulation of cardiac muscle tissue development,,,IMP,,J:210551 
MGI:104771,Erbb4,erb-b2 receptor tyrosine kinase 4,1,,positive regulation of cardiac muscle cell proliferation,,,IMP,,J:157327 
MGI:99254,Etv1,ets variant 1,12,,muscle organ development,,,IMP,MGI:2384493 MGI:2384496 ,J:78232 
MGI:1926014,Fbxo22,F-box protein 22,9,,regulation of skeletal muscle fiber development,happens in myotube,,IMP,,J:147457 
MGI:104888,Fdps,farnesyl diphosphate synthetase,3,,positive regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:68953 ,J:155856 
MGI:95516,Fgf2,fibroblast growth factor 2,3,,positive regulation of cardiac muscle cell proliferation,,,ISO,RGD:2609 ,J:155856 
MGI:95516,Fgf2,fibroblast growth factor 2,3,,positive regulation of cardiac muscle cell proliferation,,,ISO,P09038 ,J:164563 
MGI:95517,Fgf3,fibroblast growth factor 3,7,,negative regulation of cardiac muscle tissue development,,,ISO,P11487 ,J:164563 
MGI:99604,Fgf8,fibroblast growth factor 8,19,,negative regulation of cardiac muscle tissue development,,,ISO,P55075 ,J:164563 
MGI:104723,Fgf9,fibroblast growth factor 9,14,,positive regulation of cardiac muscle cell proliferation,"regulates a function/process that happens in heart ventricle,regulates the proliferation of cardiac muscle cell",,IGI,MGI:95522 MGI:95523 ,J:95803 
MGI:104723,Fgf9,fibroblast growth factor 9,14,,positive regulation of cardiac muscle cell proliferation,"regulates a function/process that happens in heart ventricle,regulates the proliferation of cardiac muscle cell",,IMP,,J:95803 
MGI:104723,Fgf9,fibroblast growth factor 9,14,,positive regulation of cardiac muscle cell proliferation,,,TAS,,J:169941 
MGI:1891346,Fgf20,fibroblast growth factor 20,8,,regulation of cardiac muscle cell proliferation,,,IGI,MGI:1914004 ,J:163662 
MGI:95522,Fgfr1,fibroblast growth factor receptor 1,8,,positive regulation of cardiac muscle cell proliferation,"regulates a function/process that happens in heart ventricle,regulates the proliferation of cardiac muscle cell",,IGI,MGI:104723 ,J:95803 
MGI:95522,Fgfr1,fibroblast growth factor receptor 1,8,,positive regulation of cardiac muscle cell proliferation,"regulates a function/process that happens in heart ventricle,regulates the proliferation of cardiac muscle cell",,IGI,MGI:95523 ,J:95803 
MGI:95522,Fgfr1,fibroblast growth factor receptor 1,8,,positive regulation of cardiac muscle cell proliferation,,,ISO,RGD:620713 ,J:155856 
MGI:95523,Fgfr2,fibroblast growth factor receptor 2,7,,positive regulation of cardiac muscle cell proliferation,"regulates a function/process that happens in heart ventricle,regulates the proliferation of cardiac muscle cell",,IGI,MGI:104723 ,J:95803 
MGI:95523,Fgfr2,fibroblast growth factor receptor 2,7,,positive regulation of cardiac muscle cell proliferation,"regulates a function/process that happens in heart ventricle,regulates the proliferation of cardiac muscle cell",,IGI,MGI:95522 ,J:95803 
MGI:95523,Fgfr2,fibroblast growth factor receptor 2,7,,ventricular cardiac muscle tissue morphogenesis,has the participant heart ventricle,,IMP,MGI:2153818 ,J:111148 
MGI:2150920,Fgfrl1,fibroblast growth factor receptor-like 1,5,,diaphragm development,results in the development of diaphragm,,IMP,MGI:3771861 ,J:130254 
MGI:95541,Fkbp1a,FK506 binding protein 1a,2,,ventricular cardiac muscle tissue morphogenesis,,,IMP,,J:45536 
MGI:2446089,Flnb,"filamin, beta",14,,skeletal muscle tissue development,,,IDA,,J:80557 
MGI:1100500,Flot1,flotillin 1,17,,positive regulation of skeletal muscle tissue development,,,IMP,,J:220503 
MGI:1100500,Flot1,flotillin 1,17,,positive regulation of skeletal muscle tissue development,,,ISO,O75955 ,J:164563 
MGI:95574,Fos,FBJ osteosarcoma oncogene,12,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:1347466,Foxc1,forkhead box C1,13,,ventricular cardiac muscle tissue morphogenesis,has the participant heart|has the participant outflow tract|has the participant primitive ventricle,,IGI,MGI:1347481 ,J:119303 
MGI:1347481,Foxc2,forkhead box C2,8,,ventricular cardiac muscle tissue morphogenesis,has the participant heart|has the participant outflow tract|has the participant primitive ventricle,,IGI,MGI:1347466 ,J:119303 
MGI:1347465,Foxh1,forkhead box H1,15,,ventricular trabecula myocardium morphogenesis,,,IMP,,J:93034 
MGI:1347488,Foxk1,forkhead box K1,5,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:1349428,Foxl2,forkhead box L2,9,,extraocular skeletal muscle development,,,ISO,P58012 ,J:164563 
MGI:1347478,Foxn2,forkhead box N2,17,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:1891915,Foxo4,forkhead box O4,X,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:1914004,Foxp1,forkhead box P1,6,,negative regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:1308669 ,J:155856 
MGI:1914004,Foxp1,forkhead box P1,6,,regulation of cardiac muscle cell proliferation,,,IGI,MGI:1891346 ,J:163662 
MGI:1914004,Foxp1,forkhead box P1,6,,regulation of cardiac muscle cell proliferation,regulates the proliferation of cardiac muscle cell,,IMP,,J:163662 
MGI:1914004,Foxp1,forkhead box P1,6,,skeletal muscle tissue development,results in the development of esophagus|results in the development of esophagus,,IGI,MGI:2148705 ,J:121421 
MGI:2148705,Foxp2,forkhead box P2,6,,skeletal muscle tissue development,results in the development of esophagus|results in the development of esophagus,,IGI,MGI:1914004 ,J:121421 
MGI:893597,Frg1,FSHD region gene 1,8,,muscle organ development,,,IEA,KW-0517 ,J:60000 
MGI:1100860,Frs2,fibroblast growth factor receptor substrate 2,10,,negative regulation of cardiac muscle cell differentiation,,,ISO,Q8WU20 ,J:164563 
MGI:104860,Fxr1,"fragile X mental retardation gene 1, autosomal homolog",3,,muscle organ development,results in the development of skeletal musculature,,IMP,MGI:3046846 ,J:91191 
MGI:1196625,Fzd1,frizzled class receptor 1,5,,muscular septum morphogenesis,has the participant interventricular septum muscular part,,IGI,MGI:1888513 MGI:2135272 ,J:165556 
MGI:1888513,Fzd2,frizzled class receptor 2,11,,muscular septum morphogenesis,has the participant interventricular septum muscular part,,IGI,MGI:1196625 MGI:2135272 ,J:165556 
MGI:108570,Fzd7,frizzled class receptor 7,1,,negative regulation of cardiac muscle cell differentiation,,,ISO,O75084 ,J:164563 
MGI:105979,G6pdx,glucose-6-phosphate dehydrogenase X-linked,X,,negative regulation of cell growth involved in cardiac muscle cell development,,,ISO,RGD:2645 ,J:155856 
MGI:95664,Gata4,GATA binding protein 4,14,,diaphragm morphogenesis,,,TAS,,J:129483 
MGI:95664,Gata4,GATA binding protein 4,14,,positive regulation of cardiac muscle cell proliferation,regulates a function/process that happens in heart,,IGI,MGI:102541 ,J:145175 
MGI:95664,Gata4,GATA binding protein 4,14,,regulation of cardiac muscle cell proliferation,,,IMP,MGI:3526854 ,J:99203 
MGI:95664,Gata4,GATA binding protein 4,14,,skeletal muscle cell differentiation,,,NAS,,J:173154 
MGI:107516,Gata6,GATA binding protein 6,18,,positive regulation of cardiac muscle cell proliferation,regulates a function/process that happens in heart,,IGI,MGI:102541 ,J:145175 
MGI:95713,Gja1,"gap junction protein, alpha 1",10,,negative regulation of cardiac muscle cell proliferation,,,ISO,RGD:2690 ,J:155856 
MGI:95713,Gja1,"gap junction protein, alpha 1",10,,positive regulation of striated muscle tissue development,,,IMP,MGI:2676327 ,J:94694 
MGI:95727,Gli1,GLI-Kruppel family member GLI1,10,,positive regulation of cardiac muscle cell proliferation,,,ISO,P08151 ,J:164563 
MGI:5593379,Gm34220,"predicted gene, 34220",12,,skeletal muscle cell differentiation,,,IDA,,J:228292 
MGI:5593379,Gm34220,"predicted gene, 34220",12,,skeletal muscle cell differentiation,,,IMP,,J:228292 
MGI:104898,Gpcpd1,glycerophosphocholine phosphodiesterase 1,2,,skeletal muscle tissue development,,,IMP,,J:166183 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,skeletal muscle fiber development,happens in hindlimb musculature,,IMP,MGI:2158814 ,J:112583 
MGI:1344337,Grem1,"gremlin 1, DAN family BMP antagonist",2,,positive regulation of cardiac muscle cell differentiation,,,IDA,,J:182488 
MGI:95841,Gsc,goosecoid homeobox,12,,muscle organ morphogenesis,has the participant genioglossus|has the participant geniohyoid|has the participant hyoglossus|has the participant mylohyoid|has the participant masseter|has the participant tongue muscle,,IMP,MGI:1857496 ,J:29421 
MGI:2152453,Gsk3a,glycogen synthase kinase 3 alpha,7,,negative regulation of cell growth involved in cardiac muscle cell development,,,IMP,,J:163724 
MGI:1861437,Gsk3b,glycogen synthase kinase 3 beta,16,,positive regulation of cardiac muscle cell differentiation,,,IMP,,J:233559 
MGI:1917489,Gtf3c5,"general transcription factor IIIC, polypeptide 5",2,,skeletal muscle cell differentiation,,,IMP,,J:178918 
MGI:1861461,H1f5,"H1.5 linker histone, cluster member",13,,muscle organ development,,,IPI,P13297 ,J:91568 
MGI:103577,Hand1,heart and neural crest derivatives expressed 1,11,,ventricular cardiac muscle tissue morphogenesis,has the participant heart,,IMP,MGI:2153823 ,J:46383 
MGI:103577,Hand1,heart and neural crest derivatives expressed 1,11,,ventricular cardiac muscle tissue morphogenesis,,,ISO,O96004 ,J:164563 
MGI:1097691,Hdac2,histone deacetylase 2,10,,negative regulation of cardiac muscle cell proliferation,regulates a function/process that happens in ventricle cardiac muscle,,IMP,MGI:3712002 ,J:121697 
